video_id,author,comment,Unnamed: 3,model_label,model_confidence,prob_negative,prob_neutral,prob_positive,confidence_level
O2xb1lVqUv4,@AntingWulanKuliner,Ngapain beli iphon yg harga nya menjajah??????????<br><br>Mendingan beli Huawei super canggih harga merakyat <br>???????????????,,0,0.6877251781662336,0.6877251781662336,0.25714645395296676,0.05512836788079968,medium
O2xb1lVqUv4,@sabilurrosyidtowilliam7163,"Kalo Kualitasnya Semua Brand Android dari segi Jangka Panjang, OSnya, Kamera/Videonya Sebanding sama Iphone bagusnya.. aku yakin Penjualan iphone pasti bakal menurun besar&quot;an, Karena sekarang apple bukan di era Stve Jobs sprti dulu lagi inovasinya agak kurang.",,0,0.7179347686256412,0.7179347686256412,0.15061545914667945,0.13144977222767934,medium
O2xb1lVqUv4,@nodengki,Brand HP paling worth it yg pernah sy pinang.<br>LG dan Huawei. Worth it every penny.,,1,0.5069407595828223,0.06547645457464221,0.5069407595828223,0.4275827858425355,low
O2xb1lVqUv4,@IlhamMab,"Yg gak tergantung kayaknya saya dah, iphone saya gak minat, saya pecinta android, lebih simpel dan apk melimpah..dan tentunya android linux brow",,0,0.7198577518508504,0.7198577518508504,0.11220589981507852,0.16793634833407117,medium
O2xb1lVqUv4,@ahmatruslan3993,ad aplikasi dari kerjaan Saya butuh google gk bisa klo gk ad googlenya jadi susah saya klo pakai huawei,,1,0.683032131233305,0.26689641945718134,0.683032131233305,0.05007144930951359,medium
O2xb1lVqUv4,@mummilamummy,Saya pake iphone karena takut phising,,1,0.5531889698474749,0.0976675770740569,0.5531889698474749,0.34914345307846817,low
O2xb1lVqUv4,@bluecourage656,FYI Xiaomi dulu awlamya itu software yang bisa diinstal di banyak hp android ??,,1,0.6709888803730628,0.2831583394486822,0.6709888803730628,0.045852780178255094,medium
O2xb1lVqUv4,@ridhobaihaqi144,"Dan saya gak peduli teknologi mereka.<br><br>Karena terlalu cepat mengembangkan teknologi... makin tinggi juga sampah elektronik, limbah B3, tingkat kemalasan, efek terhadap psikologi, ekosistem, dsb.",,0,0.7137377698396481,0.7137377698396481,0.16670742775846908,0.11955480240188288,medium
O2xb1lVqUv4,@deadwood2656,iphone 17 sampah... ngk ad inovasi,,0,0.6792790900085636,0.6792790900085636,0.2678429415634556,0.05287796842798094,medium
O2xb1lVqUv4,@filmgratis5552,iphone 17 vs xiaomi 17 pro max seru nih ??,,1,0.7463699819607748,0.1296607342701918,0.7463699819607748,0.12396928376903346,medium
O2xb1lVqUv4,@zakyaja.3380,Sy sebagai pengguna hp android dan tk service abal abal hp paling bandel adalah hp vivo,,0,0.5422256530422436,0.5422256530422436,0.4046023770624746,0.053171969895281765,low
O2xb1lVqUv4,@Panda-Terkilir,"tmn facebook gw ini, skrng udah jadi org tekno papan atas dari jaman CHIP sih",,2,0.4350780382596489,0.2825366999049836,0.28238526183536755,0.4350780382596489,low
O2xb1lVqUv4,@rickoroman,Selalu menyenangkan ketika mendengar story telling Paman Dedy Irvan.,,1,0.6466154672906133,0.06315331249867778,0.6466154672906133,0.2902312202107088,medium
O2xb1lVqUv4,@Basori123-lb3lb,HP katanya bagus tapi tak sebagus mereka kira.. <br>Dan HP jelek ngak semuanya jelek,,0,0.6299178473187372,0.6299178473187372,0.2624765336836985,0.10760561899756427,medium
O2xb1lVqUv4,@CalonProfesor-u8w,xiaomi 17 pro max dong om,,1,0.7549941592645806,0.19663398720897102,0.7549941592645806,0.04837185352644833,medium
O2xb1lVqUv4,@LuuDazzle-pp1sv,Nonton podcast mas helm pake hp Huawei P40 pro,,1,0.7769129906284208,0.17323367555758887,0.7769129906284208,0.049853333813990375,medium
O2xb1lVqUv4,@enceriki1743,Untuk pemasaran asia dan asia tenggara mengambil dari china,,2,0.49627247240186617,0.25484637876646654,0.2488811488316672,0.49627247240186617,low
O2xb1lVqUv4,@komika11,absen gaez ??????,,1,0.7753132194816635,0.1567835883245996,0.7753132194816635,0.0679031921937368,medium
O2xb1lVqUv4,@AntoniDanisaiganta,"Menurutnya saya kenyamanan  adalah kunci dari  brand Smartphone itu sendiri,soal kamera dan fitur melimpah itu bonus alias pelengkap",,0,0.6388439228176186,0.6388439228176186,0.3126886768296776,0.048467400352703784,medium
O2xb1lVqUv4,@genocidegrand2057,ga,,0,0.5555856551715201,0.5555856551715201,0.35271232684472825,0.09170201798375163,low
O2xb1lVqUv4,@ivansofian6345,huawei nova 7 saya masih ngebut buat harian wkwkw,,1,0.5395042556912027,0.4150041789413521,0.5395042556912027,0.04549156536744514,low
O2xb1lVqUv4,@ed298,"<a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=223"">3:43</a> harusnya abis ini undang lord kutang gtid.<br>biar om helmy bisa liat dari sisi kegelapan??",,1,0.772342143447492,0.17713204050313408,0.772342143447492,0.050525816049373784,medium
